"";"TCGA.DD.A1EG";"TCGA.DD.A3A1";"TCGA.DD.A3A4";"TCGA.EP.A26S";"TCGA.EP.A12J";"TCGA.BC.A10T";"TCGA.DD.A116";"TCGA.DD.A1EH";"TCGA.DD.A11A";"TCGA.DD.A119";"TCGA.DD.A39V";"TCGA.EP.A3RK";"TCGA.DD.A11B";"TCGA.DD.A1EI";"TCGA.BD.A2L6";"TCGA.BC.A10W";"TCGA.G3.A3CH";"TCGA.DD.A11C";"TCGA.BC.A10Y";"TCGA.DD.A3A3";"TCGA.DD.A3A8";"TCGA.DD.A1EL";"TCGA.BC.A10U";"TCGA.FV.A2QR";"TCGA.DD.A1EE";"TCGA.ES.A2HT";"TCGA.FV.A3I0";"TCGA.FV.A23B";"TCGA.DD.A113";"TCGA.BC.A110";"TCGA.DD.A1EB";"TCGA.DD.A3A5";"TCGA.BD.A3EP";"TCGA.BC.A10Q";"TCGA.FV.A3I1";"TCGA.DD.A39X";"TCGA.DD.A39Z";"TCGA.DD.A39W";"TCGA.BC.A10X";"TCGA.DD.A3A2";"TCGA.DD.A1EJ";"TCGA.DD.A118";"TCGA.BC.A216";"TCGA.DD.A11D";"TCGA.BC.A10R"
"TCGA.DD.A11B";0,906238849096903;0,855735400616462;0;0;0,951197009998591;0,870207911440573;0;0;0,893506129908444;0,86235281810893;0;0;0;0;0,932754046637813;0;0,932816006820811;0,981156865323633;0,975375105493197;0;0,972317419113855;0;0,862522673283751;0,932505666730378;0;0,956190502865072;0;0;0;0;0,902049711566098;0,900901297524612;0;0;0;0;0;0;0;0,911815782805855;0;0;0;0,975273442458859;0
"TCGA.DD.A1EI";0;0;0;0;0;0;0;0,914508660144381;0;0;0;0;0;0;0;0;0;0;0;0,862844201129511;0;0,927932099041755;0;0;0;0;0;0,888106620918007;0,903722172037196;0;0;0;0,948367283401391;0;0,861644441950796;0;0;0,869106070538961;0;0;0,892532725753507;0,888777935571444;0;0;0
"TCGA.BD.A2L6";0,964750373534883;0,947860721289035;0;0,865378460200445;0,937594885676592;0,92269407284505;0,939352169051757;0;0,895557969458313;0,927855302156909;0,870815566810271;0,933633879664024;0,932754046637813;0;0;0;0,957877476567902;0,927547760209539;0,950725057553381;0;0,913679046211007;0;0,921954347332042;0,918030522042668;0;0,924805388411971;0;0;0;0,867710498873498;0,872344135970758;0,939648094286339;0;0;0;0;0;0;0,862902345281531;0,946444496580201;0;0;0;0,930621928427355;0
"TCGA.BC.A10W";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,860261125668231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TCGA.G3.A3CH";0,950074564149991;0,923167268980902;0;0,908518553673884;0,937425004107858;0,95420772550909;0,941929206354112;0;0,906333630253928;0,947224274784287;0,866317254995464;0,903531271926567;0,932816006820811;0;0,957877476567902;0;0;0,928054203516471;0,961465869768991;0;0,921951245559775;0;0,928710898052027;0,875285682976972;0;0,905012148634719;0;0;0;0,890469348058521;0,873564469346731;0,952025683181616;0;0;0;0;0;0;0,899732003190201;0,959339282223066;0;0;0;0,926185010517094;0,851695253744046
"TCGA.DD.A11C";0,909409098145761;0;0;0;0,928918719959348;0,874458736786028;0;0;0,882754750069728;0,8625548429902;0;0;0,981156865323633;0;0,927547760209539;0;0,928054203516471;0;0,979485341077543;0;0,972715369694798;0;0,85062332732527;0,93030469473421;0;0,961937597854401;0;0;0;0;0,907526142587821;0,899665850654187;0;0;0;0;0;0;0;0,905055753521259;0;0;0;0,975432320254242;0
"TCGA.BC.A10Y";0,931515243767622;0,884196790304385;0;0;0,944561128762409;0,918302654857632;0,887574159037821;0;0,889441102375462;0,915753488473792;0;0;0,975375105493197;0;0,950725057553381;0;0,961465869768991;0,979485341077543;0;0;0,971691539168362;0;0,89488009408378;0,910798527953323;0;0,955159381816694;0;0;0;0;0,897233369967573;0,939186438970747;0;0;0;0;0;0;0;0,933611782379498;0;0;0;0,967707273850091;0
"TCGA.DD.A3A3";0;0,863452879007377;0;0,853988057745052;0;0;0,859010383918931;0,871350243602565;0;0,867451159744814;0,895663343779607;0,89366614096971;0;0,862844201129511;0;0;0;0;0;0;0;0,89441509610627;0;0;0;0;0;0,897188447548402;0;0;0;0;0,883232534154426;0;0;0,923967235346556;0;0;0;0;0,855747808839612;0,873507671981132;0;0;0
"TCGA.DD.A3A8";0,899064345915767;0;0;0;0,940897243690361;0,852272351754868;0,858008873248055;0;0,850600649065577;0,858159766462104;0;0;0,972317419113855;0;0,913679046211007;0;0,921951245559775;0,972715369694798;0,971691539168362;0;0;0;0;0,927957902614863;0;0,970595485558168;0;0;0;0;0,899563479959903;0,902715670952055;0;0;0;0;0;0;0;0,906113024785804;0;0;0;0,972384510072235;0
"TCGA.DD.A1EL";0;0;0;0,875484329708292;0;0;0;0,893858117212992;0;0;0;0,856440559286586;0;0,927932099041755;0;0;0;0;0;0,89441509610627;0;0;0;0;0;0;0;0,885594148440431;0,908909247501143;0;0;0;0,927177568861413;0;0;0,860134290476105;0;0,884242012085032;0;0;0,885844146785267;0,887146804636276;0;0;0,863121579694141
